timestamp,table_a,table_b
3/22/2019 11:47:01,Table A is shorter than Table B,Table B is taller than Table A
3/22/2019 11:47:01,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:02,Table A is shallower than Table B,Table B is taller than Table A
3/22/2019 11:47:06,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:07,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:47:07,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:07,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:08,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:15,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:47:17,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:17,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:47:18,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:19,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:47:21,Table A is shorter than Table B,Table B is taller than Table A
3/22/2019 11:47:27,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:35,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:49,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:47:50,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:47:54,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:47:54,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:47:59,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:00,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:05,Table A is wider than Table B,long and narrow
3/22/2019 11:48:06,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:48:08,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:48:08,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:48:13,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:48:14,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:24,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:25,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:33,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:33,Table A is wider than Table B,Table B is deeper than Table A
3/22/2019 11:48:42,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:47,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:48:50,Table A is wider than Table B,Table B is deeper than Table A
3/22/2019 11:48:54,Table A is shallower than Table B,Table B is narrower than Table A
3/22/2019 11:48:55,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:48:59,Table A is shallower than Table B,Table B is deeper than Table A
3/22/2019 11:49:04,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:49:04,Table A is shallower than Table B,Table B is deeper than Table A
3/22/2019 11:49:08,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:49:14,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:49:19,Table A is shorter than Table B,Table B is deeper than Table A
3/22/2019 11:49:21,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:49:22,Table A is wider than Table B,Table B is longer than Table A
